IEEE,SR_V1,SR_V2,DSR,CDSR,VICON,TIME
71.0,70.0,70.0,71.0,71.0,87.1892,1415125.0
71.0,70.0,70.0,71.0,71.0,87.1549,1415142.0
71.0,70.0,70.0,71.0,71.0,87.1815,1415159.0
74.0,74.0,74.0,75.0,75.0,87.1879,1415176.0
74.0,74.0,74.0,75.0,75.0,87.1763,1415193.0
74.0,74.0,74.0,75.0,75.0,87.1797,1415210.0
74.0,71.0,71.0,72.0,72.0,87.1533,1415227.0
74.0,71.0,71.0,72.0,72.0,87.1727,1415243.6666666667
74.0,71.0,71.0,72.0,72.0,87.1891,1415260.3333333333
71.0,71.0,71.0,73.0,73.0,87.1771,1415277.0
71.0,71.0,71.0,73.0,73.0,87.1721,1415293.0
71.0,71.0,71.0,73.0,73.0,87.1719,1415309.0
71.0,73.0,73.0,74.0,74.0,87.1812,1415325.0
71.0,73.0,73.0,74.0,74.0,87.1861,1415341.3333333333
71.0,73.0,73.0,74.0,74.0,87.1861,1415357.6666666667
73.0,73.0,73.0,74.0,74.0,87.1801,1415374.0
73.0,73.0,73.0,74.0,74.0,87.1815,1415390.3333333333
73.0,73.0,73.0,74.0,74.0,87.1866,1415406.6666666667
73.0,73.0,73.0,74.0,74.0,87.1716,1415423.0
73.0,73.0,73.0,74.0,74.0,87.1720,1415440.6666666667
73.0,73.0,73.0,74.0,74.0,87.1808,1415458.3333333333
72.0,72.0,72.0,74.0,74.0,87.1819,1415476.0
72.0,72.0,72.0,74.0,74.0,87.1855,1415492.3333333333
72.0,72.0,72.0,74.0,74.0,87.1709,1415508.6666666667
72.0,70.0,70.0,71.0,71.0,87.1823,1415525.0
72.0,70.0,70.0,71.0,71.0,87.1698,1415542.0
72.0,70.0,70.0,71.0,71.0,87.1837,1415559.0
72.0,72.0,72.0,72.0,72.0,87.1756,1415576.0
72.0,72.0,72.0,72.0,72.0,87.1812,1415592.3333333333
72.0,72.0,72.0,72.0,72.0,87.1762,1415608.6666666667
